POST URL, POST TYPE, NOTES, LIKES, REBLOGS
"https://starwarsmemes.tumblr.com/post/146179363479","photo","110","32","13",
"https://starwarsmemes.tumblr.com/post/148050519679","photo","102","35","13",
"https://starwarsmemes.tumblr.com/post/146379554744","photo","82","30","17",
"https://starwarsmemes.tumblr.com/post/147209116029/lack-of-training-for-the-jedi-through-generations","chat","78","29","14",
"https://starwarsmemes.tumblr.com/post/148050800014/anakin-ugh-my-grandson-is-so-whiny-must-get-it","chat","73","29","19",
"https://starwarsmemes.tumblr.com/post/147164186384/the-reason-why-the-beeps-and-boops-werent","photo","68","31","16",
"https://starwarsmemes.tumblr.com/post/147376274999","photo","60","30","16",
"https://starwarsmemes.tumblr.com/post/146393539124/moonsith-a-vision-of-the-future-starwarsfan","photo","57","23","16",
"https://starwarsmemes.tumblr.com/post/146343299214","photo","57","29","18",
"https://starwarsmemes.tumblr.com/post/147127176634","photo","49","28","15",
"https://starwarsmemes.tumblr.com/post/149404768329","photo","43","33","8",
"https://starwarsmemes.tumblr.com/post/147376452869/heres-a-long-one","photo","43","30","10",
"https://starwarsmemes.tumblr.com/post/148607069144/prequel-planning-make-anakin-an-annoying","chat","40","28","9",
"https://starwarsmemes.tumblr.com/post/146393198229","photo","35","26","6",
"https://starwarsmemes.tumblr.com/post/148365958344/sorry-i-havent-been-posting-lately-so-heres-a","photo","34","23","9",
"https://starwarsmemes.tumblr.com/post/146393296394/uk-call-it-autumn-because-autumn-is-derived-from","chat","23","12","9",
"https://starwarsmemes.tumblr.com/post/146663822874","photo","21","15","5",
"https://starwarsmemes.tumblr.com/post/147163632494","photo","20","15","4",
"https://starwarsmemes.tumblr.com/post/149404719394/imagine-being-a-grandparent-in-2060-or-something","text","18","14","3",
"https://starwarsmemes.tumblr.com/post/147376383429/im-going-on-a-cruise-for-1-week-and-i-will-be-in","text","2","1","0",
